sample,robot_name,q,armfoundry_position,mujoco_position,position_error
0,ur5e_true,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.817, -0.234, 0.063]","[-0.817, -0.234, 0.063]",0.0
1,ur5e_true,"[1.57199717, 4.99153956, 1.73213319, -3.45315087, -2.5111864, 4.69421455]","[0.05387321, -0.54293636, 0.49599807]","[0.05387321, -0.54293636, 0.49599807]",0.0
2,ur5e_true,"[-6.21702418, 4.03667837, 1.86648722, -0.40294157, -2.47516937, -2.78438796]","[-0.12100079, -0.06353494, 0.52553169]","[-0.12100079, -0.06353494, 0.52553169]",0.0
3,ur5e_true,"[-3.08040191, -0.69019201, 0.02857671, 0.67226806, 6.22664485, 3.67770089]","[0.61482039, 0.27194701, 0.57449882]","[0.61482039, 0.27194701, 0.57449882]",0.0
4,ur5e_true,"[1.53535063, 6.14445902, -1.78871545, -4.2699047, 1.41421543, -5.73099803]","[0.13624997, -0.37896307, 0.4810022]","[0.13624997, -0.37896307, 0.4810022]",0.0
5,ur5e_true,"[-5.83481806, 0.18709857, -0.21232754, 5.24228876, 1.62390622, 0.17740771]","[-0.79605351, -0.52574302, 0.13289294]","[-0.79605351, -0.52574302, 0.13289294]",0.0
6,ur5e_true,"[-0.0392896, -3.17282343, -3.06739814, -3.86539155, 2.4131486, -3.76228968]","[0.14538102, -0.06513965, 0.16869465]","[0.14538102, -0.06513965, 0.16869465]",0.0
7,ur5e_true,"[-1.6394563, -6.2362641, 2.07368989, -4.34217336, -2.92043545, 4.77939837]","[-0.01490681, 0.3143147, -0.14803478]","[-0.01490681, 0.3143147, -0.14803478]",0.0
8,ur5e_true,"[0.12303504, 4.36242191, 0.87784296, 3.0381856, -5.13342146, 0.51702889]","[0.09785999, -0.16410093, 0.85889491]","[0.09785999, -0.16410093, 0.85889491]",0.0
9,ur5e_true,"[0.09766887, 4.66639172, -0.87167792, 1.2338183, -5.53861135, -1.41206149]","[0.23396635, -0.18560732, 0.85907357]","[0.23396635, -0.18560732, 0.85907357]",0.0
10,ur5e_true,"[-2.22379252, -4.39572313, 1.98755231, -1.51492522, 6.01612784, 1.13086981]","[-0.47179562, -0.23746527, 0.11111523]","[-0.47179562, -0.23746527, 0.11111523]",0.0
11,ur5e_true,"[1.32017681, 1.73411747, 1.10863688, -4.38833045, -0.75004365, -3.27273822]","[0.2863744, 0.28330918, -0.44242035]","[0.2863744, 0.28330918, -0.44242035]",0.0
12,ur5e_true,"[-1.22524344, -5.06796961, 2.93936364, -3.58136757, 2.1584663, -2.5079971]","[-0.05906065, -0.06786842, -0.03198583]","[-0.05906065, -0.06786842, -0.03198583]",0.0
13,ur5e_true,"[4.70079406, 2.03845204, -2.31455783, 4.33633504, 5.5913878, 5.07577185]","[-0.2074739, 0.30618434, -0.09951323]","[-0.2074739, 0.30618434, -0.09951323]",0.0
14,ur5e_true,"[0.87611731, -4.45528495, -1.93225186, 5.37722544, 0.65755453, -4.01429869]","[-0.09165432, -0.44297138, -0.20859149]","[-0.09165432, -0.44297138, -0.20859149]",0.0
15,ur5e_true,"[4.82620487, 1.77904385, 0.43788913, -1.55461406, -1.11896976, -3.27367755]","[-0.12468583, -0.47355545, -0.58932984]","[-0.12468583, -0.47355545, -0.58932984]",0.0
16,ur5e_true,"[-5.80494767, 4.72770851, -0.20275105, 0.59860201, -2.23476343, 3.15824445]","[0.03894137, -0.06133537, 0.86092502]","[0.03894137, -0.06133537, 0.86092502]",0.0
17,ur5e_true,"[-5.96655655, -1.60616843, -2.9508091, -4.73888114, 5.87036224, 1.98248128]","[0.09216052, -0.20720365, 0.29447082]","[0.09216052, -0.20720365, 0.29447082]",0.0
18,ur5e_true,"[-0.90201166, 0.29832722, 2.34236026, -1.95770796, 1.13463079, 2.30824764]","[-0.1814221, -0.05468633, -0.2849346]","[-0.1814221, -0.05468633, -0.2849346]",0.0
19,ur5e_true,"[-1.81692542, 0.23999884, 1.66654931, 5.14190275, -4.38488401, 5.44651278]","[-0.02988832, 0.29896902, -0.44584568]","[-0.02988832, 0.29896902, -0.44584568]",0.0
20,ur5e_true,"[-6.2181104, 3.17901144, 1.95104007, -4.56456096, -1.01908754, 3.96163019]","[0.40248017, -0.16058134, 0.4984031]","[0.40248017, -0.16058134, 0.4984031]",0.0
21,ur5e_true,"[-6.10385281, 1.61430165, 1.84106764, 0.16340796, 2.83810964, -3.43786648]","[0.37287726, 0.02839671, -0.03805131]","[0.37287726, 0.02839671, -0.03805131]",0.0
22,ur5e_true,"[-3.78849782, -1.71999875, -2.01429193, -1.93445045, 5.63129724, 0.9215268]","[-0.26673877, 0.46902854, 0.31757313]","[-0.26673877, 0.46902854, 0.31757313]",0.0
23,ur5e_true,"[-2.00976544, -2.87110845, 2.84016412, -0.69770792, 6.03682299, 0.19506376]","[-0.19605236, 0.12591784, 0.19784121]","[-0.19605236, 0.12591784, 0.19784121]",0.0
24,ur5e_true,"[0.26598162, 4.98307891, 1.52530769, 1.01351454, -0.92175021, 4.75245235]","[-0.31093078, -0.28623844, 0.52770226]","[-0.31093078, -0.28623844, 0.52770226]",0.0
25,ur5e_true,"[-1.11028805, 5.31255748, -2.70976144, -0.87968603, 0.24523064, 5.66666072]","[-0.11852572, -0.28089254, 0.30376625]","[-0.11852572, -0.28089254, 0.30376625]",0.0
26,ur5e_true,"[-3.12903809, 3.84580422, 1.10876855, 2.72798397, 1.62888161, 5.92581106]","[-0.31298047, 0.1242753, 0.70329243]","[-0.31298047, 0.1242753, 0.70329243]",0.0
27,ur5e_true,"[-2.10258836, -1.27830797, -1.86660546, -5.64602357, -3.60770472, 5.22088349]","[-0.16346506, -0.18975896, 0.67584053]","[-0.16346506, -0.18975896, 0.67584053]",0.0
28,ur5e_true,"[4.27469062, -4.87065674, 0.65204362, -0.26142475, 1.18984606, 2.00151026]","[-0.25570684, -0.14255076, -0.66917366]","[-0.25570684, -0.14255076, -0.66917366]",0.0
29,ur5e_true,"[-2.42959031, 5.79751003, -0.21462706, 1.60976402, 1.69930361, -3.97236597]","[0.41865435, 0.52137923, 0.47433271]","[0.41865435, 0.52137923, 0.47433271]",0.0
30,ur5e_true,"[-5.50576565, -1.11191322, 1.65890105, 3.96119678, 2.8901323, -4.86061355]","[-0.41293721, -0.45851679, 0.38479068]","[-0.41293721, -0.45851679, 0.38479068]",0.0
31,ur5e_true,"[5.19437426, 3.79550641, 2.37303486, 0.29284884, 5.22303282, -5.69694025]","[-0.13817386, -0.13039094, 0.38341711]","[-0.13817386, -0.13039094, 0.38341711]",0.0
32,ur5e_true,"[-5.902569, -6.02915342, -1.5533544, -3.15956777, -3.92695185, 0.8426489]","[-0.3496639, -0.20807487, 0.39046865]","[-0.3496639, -0.20807487, 0.39046865]",0.0
33,ur5e_true,"[-5.79327911, 1.13584829, -2.09845193, 2.23522861, -6.01834909, -2.38044689]","[-0.16962724, -0.35169828, 0.04488085]","[-0.16962724, -0.35169828, 0.04488085]",0.0
34,ur5e_true,"[5.50836318, 0.4825035, 1.95770365, 1.98581579, 1.39173646, -3.87983615]","[-0.20991752, -0.00693374, -0.16450703]","[-0.20991752, -0.00693374, -0.16450703]",0.0
35,ur5e_true,"[0.93487268, -5.78447538, 1.89535746, 5.78142597, 4.44861251, -5.64595332]","[0.07412955, -0.08130412, -0.18357184]","[0.07412955, -0.08130412, -0.18357184]",0.0
36,ur5e_true,"[-2.0274587, -2.28704097, -2.43329914, 1.59105223, 3.73797247, -2.34084677]","[-0.14237088, -0.17353125, 0.19088131]","[-0.14237088, -0.17353125, 0.19088131]",0.0
37,ur5e_true,"[4.55919871, 3.7338097, -2.33012631, 3.35345357, 4.80815736, -3.80406226]","[-0.17117462, -0.16781924, -0.09021872]","[-0.17117462, -0.16781924, -0.09021872]",0.0
38,ur5e_true,"[0.92540305, 1.7435848, 0.68694714, -5.07373024, 2.02559315, 1.65819321]","[0.31327129, 0.26631011, -0.38072773]","[0.31327129, 0.26631011, -0.38072773]",0.0
39,ur5e_true,"[4.07006813, 3.81405591, -1.08590215, 2.79033116, 4.61529695, 4.93793085]","[-0.51529642, -0.48125053, 0.12918356]","[-0.51529642, -0.48125053, 0.12918356]",0.0
40,ur5e_true,"[-4.25356472, -5.94763812, 0.94752317, -3.58548638, 0.8006006, 5.58958275]","[0.42128417, -0.39306174, -0.23261535]","[0.42128417, -0.39306174, -0.23261535]",0.0
41,ur5e_true,"[-1.51651546, -3.10672895, -0.27324736, 1.97598677, -5.01274195, -1.50061724]","[-0.12584515, -0.69904142, 0.16284413]","[-0.12584515, -0.69904142, 0.16284413]",0.0
42,ur5e_true,"[-4.60279873, 2.04136095, 2.07686156, -1.54750218, -1.61196555, 0.49664418]","[0.08731393, 0.39401761, 0.24714329]","[0.08731393, 0.39401761, 0.24714329]",0.0
43,ur5e_true,"[-3.58069222, -3.17414706, -1.0690381, -0.53500486, -5.25863469, 3.17592806]","[-0.55109733, 0.46427706, -0.2923077]","[-0.55109733, 0.46427706, -0.2923077]",0.0
44,ur5e_true,"[0.99342982, -2.51712291, -2.65427489, 3.30723184, -4.63600162, -4.60926471]","[0.16276881, 0.01834999, 0.18442494]","[0.16276881, 0.01834999, 0.18442494]",0.0
45,ur5e_true,"[-4.64096211, -5.26201692, 2.55336323, -2.89976382, -2.43271823, 4.18201976]","[0.04030572, 0.25064457, -0.07236316]","[0.04030572, 0.25064457, -0.07236316]",0.0
46,ur5e_true,"[1.50700377, -3.93147509, -0.40956733, 4.82451558, -1.56609746, 2.65001773]","[0.17094391, 0.56669343, -0.54619946]","[0.17094391, 0.56669343, -0.54619946]",0.0
47,ur5e_true,"[-5.06666754, 2.85664953, 1.73708315, 4.09370917, 2.18907584, -1.62442082]","[0.27315634, 0.5193103, 0.45201552]","[0.27315634, 0.5193103, 0.45201552]",0.0
48,ur5e_true,"[-5.47627761, 0.23594929, 1.61762059, -3.88504462, -2.93755184, 0.45389818]","[-0.25232479, -0.31557058, -0.28647724]","[-0.25232479, -0.31557058, -0.28647724]",0.0
49,ur5e_true,"[3.12062879, 4.98365956, -2.35146605, -3.96758048, 3.76409541, 1.81611363]","[-0.14356954, 0.05577964, 0.30127542]","[-0.14356954, 0.05577964, 0.30127542]",0.0
50,ur5e_true,"[2.77682807, 6.24261523, 2.75936768, 4.31058334, 3.48234256, -1.31922843]","[-0.009415, 0.0461441, -0.03134526]","[-0.009415, 0.0461441, -0.03134526]",0.0
51,ur5e_true,"[1.77473867, -3.96537597, 1.63040373, 3.23823881, 2.78087975, -0.69367644]","[-0.08530258, 0.61210319, 0.04455066]","[-0.08530258, 0.61210319, 0.04455066]",0.0
52,ur5e_true,"[-1.53083228, -1.00818895, -2.93202959, 4.32685742, 0.53243598, -1.41348353]","[-0.21848348, -0.0462607, 0.12990564]","[-0.21848348, -0.0462607, 0.12990564]",0.0
53,ur5e_true,"[0.60354775, 2.78521521, -0.74478136, 4.15495635, 5.27113581, -1.41456853]","[0.64245562, 0.21573951, -0.44188339]","[0.64245562, 0.21573951, -0.44188339]",0.0
54,ur5e_true,"[-4.55133983, 3.27194978, 3.09719768, -4.42351469, 2.67256336, 4.08813747]","[0.0216982, 0.14581398, 0.17913779]","[0.0216982, 0.14581398, 0.17913779]",0.0
55,ur5e_true,"[5.28506688, -4.73273226, -2.56465832, 6.13077969, -4.81598364, -4.06135903]","[-0.30923484, 0.21324901, 0.12304223]","[-0.30923484, 0.21324901, 0.12304223]",0.0
56,ur5e_true,"[0.94188705, -0.67515344, 1.57321414, -3.88857521, 5.20785673, -3.55383703]","[-0.2520617, -0.65511329, 0.20766165]","[-0.2520617, -0.65511329, 0.20766165]",0.0
57,ur5e_true,"[3.38175096, -5.43365841, -0.16711154, -5.8740497, -2.33972542, -2.3595807]","[0.43436339, 0.172737, -0.38572534]","[0.43436339, 0.172737, -0.38572534]",0.0
58,ur5e_true,"[2.76144239, -0.5652674, -2.78478668, 6.22490285, 4.88454319, 5.23168477]","[0.09698763, 0.12399438, 0.43195436]","[0.09698763, 0.12399438, 0.43195436]",0.0
59,ur5e_true,"[-3.18462819, -1.33065078, -1.7141312, -4.71356894, -5.86819881, 0.04192707]","[-0.17581396, 0.23329209, 0.6442795]","[-0.17581396, 0.23329209, 0.6442795]",0.0
60,ur5e_true,"[-4.73584569, -4.06768227, 2.2648687, -0.19801136, -3.97470175, 2.13458261]","[0.07342016, 0.28385878, 0.31375848]","[0.07342016, 0.28385878, 0.31375848]",0.0
61,ur5e_true,"[-2.94223092, 0.33850309, -1.36370713, 0.20308762, 1.61520194, 0.45500449]","[0.70513388, 0.27464816, 0.36207675]","[0.70513388, 0.27464816, 0.36207675]",0.0
62,ur5e_true,"[-1.31187846, 3.6544767, 2.34630749, -4.02914254, -4.57028277, -4.86078083]","[-0.08395525, -0.15107461, 0.42865453]","[-0.08395525, -0.15107461, 0.42865453]",0.0
63,ur5e_true,"[6.02679476, 5.54920412, -1.69221809, 5.90503713, -3.67167422, 0.08138008]","[-0.01698657, -0.04488293, 0.81589346]","[-0.01698657, -0.04488293, 0.81589346]",0.0
64,ur5e_true,"[-1.5708, -1.5708, 1.5708, -1.5708, -1.5708, 0.0]","[-0.13399783, 0.4919993, 0.48800037]","[-0.13399783, 0.4919993, 0.48800037]",0.0
