config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
position_only_tcp_offset_0172,0,1,0.001868101,,0,0,-0.200270285,-0.011069408,1.18252192
position_only_tcp_offset_0172,1,1,0.000205876,,0,0,-0.189888532,-0.012816252,1.188945374
position_only_tcp_offset_0172,2,1,0.000336272,,0,0,-0.174300289,-0.018425554,1.196555538
position_only_tcp_offset_0172,3,1,0.001208342,,0,0,-0.144757553,-0.031774679,1.211174706
position_only_tcp_offset_0172,4,1,0.000579264,,0,0,-0.12382369,-0.041186133,1.221650447
position_only_tcp_offset_0172,5,1,0.000570877,,0,0,-0.10244955,-0.050413239,1.231610489
position_only_tcp_offset_0172,6,1,0.001105803,,0,0,-0.069317396,-0.063455038,1.243489471
position_only_tcp_offset_0172,7,1,0.000464258,,0,0,-0.04670997,-0.070510163,1.248003617
position_only_tcp_offset_0172,8,1,0.000939493,,0,0,-0.012868649,-0.078707415,1.250610509
position_only_tcp_offset_0172,9,1,0.000520168,,0,0,0.009018573,-0.083493864,1.250389012
position_only_tcp_offset_0172,10,1,0.000447468,,0,0,0.028181822,-0.087495545,1.249661883
position_only_tcp_offset_0172,11,1,0.000679521,,0,0,0.051368655,-0.092234817,1.250001942
position_only_tcp_offset_0172,12,1,0.000372308,,0,0,0.066169877,-0.095778209,1.249041299
position_only_tcp_offset_0172,13,1,0.000947993,,0,0,0.087631023,-0.102173833,1.236271522
position_only_tcp_offset_0172,14,1,0.000542698,,0,0,0.100571103,-0.105611097,1.222485662
position_only_tcp_offset_0172,15,1,0.000371905,,0,0,0.108513777,-0.108872277,1.207163254
position_only_tcp_offset_0172,16,1,0.000261058,,0,0,0.10797745,-0.112388921,1.188192895
position_only_tcp_offset_0172,17,1,8.0643e-05,,0,0,0.102612524,-0.114548977,1.179106313
position_only_tcp_offset_0172,18,1,0.000267129,,0,0,0.092675347,-0.118264362,1.164563985
position_only_tcp_offset_0172,19,1,0.000137639,,0,0,0.085743668,-0.120688599,1.153297186
position_only_tcp_offset_0172,20,1,0.00015846,,0,0,0.078998508,-0.122132484,1.140615245
position_only_tcp_offset_0172,21,1,0.000511086,,0,0,0.066205292,-0.123390461,1.119328987
position_only_tcp_offset_0172,22,1,0.000301817,,0,0,0.055460364,-0.124032171,1.103328504
position_only_tcp_offset_0172,23,1,0.000267835,,0,0,0.043107781,-0.127824735,1.090901367
position_only_tcp_offset_0172,24,1,1.4685e-05,,0,0,0.037980105,-0.128200369,1.088401461
position_only_tcp_offset_0172,25,1,4.793e-06,,0,0,0.036514038,-0.13024083,1.087748102
position_only_tcp_offset_0172,26,1,2.5829e-05,,0,0,0.036387152,-0.134969284,1.09231914
position_only_tcp_offset_0172,27,1,2.9637e-05,,0,0,0.039442809,-0.133073863,1.095374345
position_only_tcp_offset_0172,28,1,7.482e-05,,0,0,0.044630469,-0.130339497,1.100814413
position_only_tcp_offset_0172,29,1,0.000498558,,0,0,0.05618462,-0.12625482,1.121348086
position_only_tcp_offset_0172,30,1,0.000499585,,0,0,0.067826018,-0.123482079,1.140954905
position_only_tcp_offset_0172,31,1,0.001109572,,0,0,0.081929643,-0.117018875,1.174236465
position_only_tcp_offset_0172,32,1,0.000544368,,0,0,0.088195739,-0.105556024,1.19861519
position_only_tcp_offset_0172,33,1,0.000589154,,0,0,0.093851226,-0.089288255,1.222116256
position_only_tcp_offset_0172,34,1,0.001044964,,0,0,0.09831699,-0.060172171,1.249058195
position_only_tcp_offset_0172,35,1,0.00034361,,0,0,0.099690839,-0.039685505,1.259013206
position_only_tcp_offset_0172,36,1,0.000666011,,0,0,0.101340046,-0.008749437,1.266436722
position_only_tcp_offset_0172,37,1,0.000304095,,0,0,0.102074488,0.012299014,1.268185273
position_only_tcp_offset_0172,38,1,0.00031161,,0,0,0.102462133,0.033768544,1.268803903
position_only_tcp_offset_0172,39,1,0.000744599,,0,0,0.103123091,0.066652556,1.265187301
position_only_tcp_offset_0172,40,1,0.000367239,,0,0,0.104139586,0.088210107,1.260413767
position_only_tcp_offset_0172,41,1,0.000800322,,0,0,0.105025313,0.120058814,1.250172864
position_only_tcp_offset_0172,42,1,0.000448194,,0,0,0.105630357,0.141795404,1.239736613
position_only_tcp_offset_0172,43,1,0.000499125,,0,0,0.107235982,0.162064408,1.225274303
position_only_tcp_offset_0172,44,1,0.00098305,,0,0,0.110456014,0.183758881,1.197439923
position_only_tcp_offset_0172,45,1,0.00047186,,0,0,0.113337537,0.192964122,1.176517952
position_only_tcp_offset_0172,46,1,0.00074391,,0,0,0.115649291,0.200403287,1.14636128
position_only_tcp_offset_0172,47,1,0.000266751,,0,0,0.114557453,0.203611583,1.12767254
position_only_tcp_offset_0172,48,1,0.000214336,,0,0,0.110410918,0.207130371,1.110629853
position_only_tcp_offset_0172,49,1,0.000457939,,0,0,0.10195982,0.213620445,1.086888178
position_only_tcp_offset_0172,50,1,0.000216296,,0,0,0.095693769,0.218147862,1.070834935
position_only_tcp_offset_0172,51,1,0.000529127,,0,0,0.085823453,0.22486931,1.045608592
position_only_tcp_offset_0172,52,1,0.000255673,,0,0,0.079014296,0.229085528,1.028127041
position_only_tcp_offset_0172,53,1,0.000222304,,0,0,0.074608455,0.231856638,1.011460617
position_only_tcp_offset_0172,54,1,0.0003926,,0,0,0.070724825,0.231132449,0.988596271
position_only_tcp_offset_0172,55,1,0.000127675,,0,0,0.06728352,0.228092733,0.976036359
position_only_tcp_offset_0172,56,1,9.4726e-05,,0,0,0.06321032,0.223195245,0.966153581
position_only_tcp_offset_0172,57,1,0.000233118,,0,0,0.051160212,0.219986917,0.954632933
position_only_tcp_offset_0172,58,1,0.000130335,,0,0,0.03983167,0.222259099,0.949632134
position_only_tcp_offset_0172,59,1,0.000343332,,0,0,0.023870109,0.231933511,0.944181884
position_only_tcp_offset_0172,60,1,0.000138453,,0,0,0.015321848,0.240379523,0.938369667
position_only_tcp_offset_0172,61,1,7.4736e-05,,0,0,0.012178162,0.246859443,0.932937515
position_only_tcp_offset_0172,62,1,7.9439e-05,,0,0,0.014014032,0.250006965,0.928144071
position_only_tcp_offset_0172,63,1,5.3506e-05,,0,0,0.017914107,0.250262294,0.927361131
position_only_tcp_offset_0172,64,1,0.000193433,,0,0,0.028264382,0.249543363,0.93240123
position_only_tcp_offset_0172,65,1,0.000118662,,0,0,0.035256699,0.249978727,0.941023287
position_only_tcp_offset_0172,66,1,0.000108579,,0,0,0.041088157,0.251529816,0.951161262
position_only_tcp_offset_0172,67,1,7.3215e-05,,0,0,0.046275355,0.25182388,0.957778404
position_only_tcp_offset_0172,68,1,0.00148442,,0,0,0.047700667,0.25182189,0.957957076
position_only_tcp_offset_0172,69,1,0.000136853,,0,0,0.053177598,0.246674471,0.95541762
position_only_tcp_offset_0172,70,1,6.9576e-05,,0,0,0.055853435,0.242899082,0.950716864
position_only_tcp_offset_0172,71,1,7.3828e-05,,0,0,0.05713878,0.240269508,0.944066423
position_only_tcp_offset_0172,72,1,7.329e-05,,0,0,0.056583161,0.240753007,0.936476557
position_only_tcp_offset_0172,73,1,2.6597e-05,,0,0,0.054110749,0.245804754,0.934588799
position_only_tcp_offset_0172,74,1,0.000129302,,0,0,0.052421065,0.25854594,0.937752605
position_only_tcp_offset_0172,75,1,7.1673e-05,,0,0,0.054046953,0.264533458,0.946587866
position_only_tcp_offset_0172,76,1,0.000111308,,0,0,0.05736477,0.269232957,0.959077807
position_only_tcp_offset_0172,77,1,0.000212549,,0,0,0.062182537,0.271953858,0.977805206
position_only_tcp_offset_0172,78,1,4.3706e-05,,0,0,0.063412091,0.271721836,0.987741532
position_only_tcp_offset_0172,79,1,2.0202e-05,,0,0,0.063841916,0.269260168,0.993535718
pose_baseline_tcp_offset_0172,0,1,3.7183e-05,7.825e-06,0,0,-0.200270285,-0.011069408,1.18252192
pose_baseline_tcp_offset_0172,1,1,0.000331686,0.000113132,0,0,-0.189888532,-0.012816252,1.188945374
pose_baseline_tcp_offset_0172,2,1,0.000660795,0.000105719,0,0,-0.174300289,-0.018425554,1.196555538
pose_baseline_tcp_offset_0172,3,1,0.00010728,2.3809e-05,0,0,-0.144757553,-0.031774679,1.211174706
pose_baseline_tcp_offset_0172,4,1,0.001597338,0.000173765,0,0,-0.12382369,-0.041186133,1.221650447
pose_baseline_tcp_offset_0172,5,1,0.000119669,2.7865e-05,0,0,-0.10244955,-0.050413239,1.231610489
pose_baseline_tcp_offset_0172,6,1,0.000188985,4.4726e-05,0,0,-0.069317396,-0.063455038,1.243489471
pose_baseline_tcp_offset_0172,7,1,0.000934257,0.000207697,0,0,-0.04670997,-0.070510163,1.248003617
pose_baseline_tcp_offset_0172,8,0,0.018490194,0.044268906,1,0,-0.012868649,-0.078707415,1.250610509
pose_baseline_tcp_offset_0172,9,0,0.037288966,0.025331031,1,0,0.009018573,-0.083493864,1.250389012
pose_baseline_tcp_offset_0172,10,0,0.044155565,0.070285973,1,0,0.028181822,-0.087495545,1.249661883
pose_baseline_tcp_offset_0172,11,0,0.056617065,0.140625562,1,1,0.051368655,-0.092234817,1.250001942
pose_baseline_tcp_offset_0172,12,0,0.065580244,0.16404376,1,1,0.066169877,-0.095778209,1.249041299
pose_baseline_tcp_offset_0172,13,0,0.076639923,0.181399656,1,1,0.087631023,-0.102173833,1.236271522
pose_baseline_tcp_offset_0172,14,0,0.081956402,0.166345984,1,1,0.100571103,-0.105611097,1.222485662
pose_baseline_tcp_offset_0172,15,0,0.086341853,0.182975074,1,1,0.108513777,-0.108872277,1.207163254
pose_baseline_tcp_offset_0172,16,0,0.090301524,0.15463899,1,1,0.10797745,-0.112388921,1.188192895
pose_baseline_tcp_offset_0172,17,0,0.086548215,0.198347385,1,1,0.102612524,-0.114548977,1.179106313
pose_baseline_tcp_offset_0172,18,0,0.082025609,0.262569628,1,1,0.092675347,-0.118264362,1.164563985
pose_baseline_tcp_offset_0172,19,0,0.081579724,0.302109567,1,1,0.085743668,-0.120688599,1.153297186
pose_baseline_tcp_offset_0172,20,0,0.083941065,0.337506303,1,1,0.078998508,-0.122132484,1.140615245
pose_baseline_tcp_offset_0172,21,0,0.073119425,0.201335494,1,1,0.066205292,-0.123390461,1.119328987
pose_baseline_tcp_offset_0172,22,0,0.069798811,0.226044281,1,1,0.055460364,-0.124032171,1.103328504
pose_baseline_tcp_offset_0172,23,0,0.053023795,0.093242002,1,0,0.043107781,-0.127824735,1.090901367
pose_baseline_tcp_offset_0172,24,0,0.040047225,0.037171671,1,0,0.037980105,-0.128200369,1.088401461
pose_baseline_tcp_offset_0172,25,0,0.02192737,0.025122186,1,0,0.036514038,-0.13024083,1.087748102
pose_baseline_tcp_offset_0172,26,0,0.006467567,0.002493787,1,0,0.036387152,-0.134969284,1.09231914
pose_baseline_tcp_offset_0172,27,0,0.002333481,0.000651136,1,0,0.039442809,-0.133073863,1.095374345
pose_baseline_tcp_offset_0172,28,0,0.004301949,0.001339434,1,0,0.044630469,-0.130339497,1.100814413
pose_baseline_tcp_offset_0172,29,0,0.017986736,0.012094372,1,0,0.05618462,-0.12625482,1.121348086
pose_baseline_tcp_offset_0172,30,0,0.029399183,0.043099614,1,0,0.067826018,-0.123482079,1.140954905
pose_baseline_tcp_offset_0172,31,0,0.048458543,0.077044401,1,0,0.081929643,-0.117018875,1.174236465
pose_baseline_tcp_offset_0172,32,0,0.057978173,0.083837743,1,0,0.088195739,-0.105556024,1.19861519
pose_baseline_tcp_offset_0172,33,0,0.070232711,0.116416766,1,1,0.093851226,-0.089288255,1.222116256
pose_baseline_tcp_offset_0172,34,0,0.078809253,0.218998791,1,1,0.09831699,-0.060172171,1.249058195
pose_baseline_tcp_offset_0172,35,0,0.078361754,0.227746907,1,1,0.099690839,-0.039685505,1.259013206
pose_baseline_tcp_offset_0172,36,0,0.086984647,0.288493516,1,1,0.101340046,-0.008749437,1.266436722
pose_baseline_tcp_offset_0172,37,0,0.08918702,0.294271312,1,1,0.102074488,0.012299014,1.268185273
pose_baseline_tcp_offset_0172,38,0,0.091524725,0.294376532,1,1,0.102462133,0.033768544,1.268803903
pose_baseline_tcp_offset_0172,39,0,0.093262011,0.268037724,1,1,0.103123091,0.066652556,1.265187301
pose_baseline_tcp_offset_0172,40,0,0.099710732,0.181862945,1,1,0.104139586,0.088210107,1.260413767
pose_baseline_tcp_offset_0172,41,0,0.096849487,0.214730436,1,1,0.105025313,0.120058814,1.250172864
pose_baseline_tcp_offset_0172,42,0,0.105082798,0.167399763,1,1,0.105630357,0.141795404,1.239736613
pose_baseline_tcp_offset_0172,43,0,0.097903253,0.204012287,1,1,0.107235982,0.162064408,1.225274303
pose_baseline_tcp_offset_0172,44,0,0.096315136,0.200243258,1,1,0.110456014,0.183758881,1.197439923
pose_baseline_tcp_offset_0172,45,0,0.0955647,0.191129716,1,1,0.113337537,0.192964122,1.176517952
pose_baseline_tcp_offset_0172,46,0,0.09569892,0.100164752,1,1,0.115649291,0.200403287,1.14636128
pose_baseline_tcp_offset_0172,47,0,0.096276075,0.109185797,1,1,0.114557453,0.203611583,1.12767254
pose_baseline_tcp_offset_0172,48,0,0.091026305,0.139490756,1,1,0.110410918,0.207130371,1.110629853
pose_baseline_tcp_offset_0172,49,0,0.090632309,0.149327799,1,1,0.10195982,0.213620445,1.086888178
pose_baseline_tcp_offset_0172,50,0,0.089761579,0.126813922,1,1,0.095693769,0.218147862,1.070834935
pose_baseline_tcp_offset_0172,51,0,0.08732322,0.114132008,1,1,0.085823453,0.22486931,1.045608592
pose_baseline_tcp_offset_0172,52,0,0.084964256,0.119392625,1,1,0.079014296,0.229085528,1.028127041
pose_baseline_tcp_offset_0172,53,0,0.08523076,0.089373381,1,0,0.074608455,0.231856638,1.011460617
pose_baseline_tcp_offset_0172,54,0,0.077148981,0.09251209,1,0,0.070724825,0.231132449,0.988596271
pose_baseline_tcp_offset_0172,55,0,0.073465702,0.088930245,1,0,0.06728352,0.228092733,0.976036359
pose_baseline_tcp_offset_0172,56,0,0.071896356,0.09071796,1,0,0.06321032,0.223195245,0.966153581
pose_baseline_tcp_offset_0172,57,0,0.064910303,0.063698196,1,0,0.051160212,0.219986917,0.954632933
pose_baseline_tcp_offset_0172,58,0,0.057950793,0.082510387,1,0,0.03983167,0.222259099,0.949632134
pose_baseline_tcp_offset_0172,59,0,0.055345975,0.083648347,1,0,0.023870109,0.231933511,0.944181884
pose_baseline_tcp_offset_0172,60,0,0.043989438,0.043864671,1,0,0.015321848,0.240379523,0.938369667
pose_baseline_tcp_offset_0172,61,0,0.039164462,0.010617926,1,0,0.012178162,0.246859443,0.932937515
pose_baseline_tcp_offset_0172,62,0,0.028325092,0.02894458,1,0,0.014014032,0.250006965,0.928144071
pose_baseline_tcp_offset_0172,63,0,0.027296882,0.026708652,1,0,0.017914107,0.250262294,0.927361131
pose_baseline_tcp_offset_0172,64,0,0.030819088,0.029720202,1,0,0.028264382,0.249543363,0.93240123
pose_baseline_tcp_offset_0172,65,0,0.035114736,0.029323699,1,0,0.035256699,0.249978727,0.941023287
pose_baseline_tcp_offset_0172,66,0,0.041628501,0.043234499,1,0,0.041088157,0.251529816,0.951161262
pose_baseline_tcp_offset_0172,67,0,0.047946821,0.073625581,1,0,0.046275355,0.25182388,0.957778404
pose_baseline_tcp_offset_0172,68,0,0.049261715,0.098089341,1,0,0.047700667,0.25182189,0.957957076
pose_baseline_tcp_offset_0172,69,0,0.052126475,0.13289281,1,1,0.053177598,0.246674471,0.95541762
pose_baseline_tcp_offset_0172,70,0,0.05311244,0.157060989,1,1,0.055853435,0.242899082,0.950716864
pose_baseline_tcp_offset_0172,71,0,0.053558502,0.181361291,1,1,0.05713878,0.240269508,0.944066423
pose_baseline_tcp_offset_0172,72,0,0.053543723,0.213340179,1,1,0.056583161,0.240753007,0.936476557
pose_baseline_tcp_offset_0172,73,0,0.052279339,0.228080741,1,1,0.054110749,0.245804754,0.934588799
pose_baseline_tcp_offset_0172,74,0,0.054520005,0.241518889,1,1,0.052421065,0.25854594,0.937752605
pose_baseline_tcp_offset_0172,75,0,0.058582063,0.263257062,1,1,0.054046953,0.264533458,0.946587866
pose_baseline_tcp_offset_0172,76,0,0.065653455,0.291143988,1,1,0.05736477,0.269232957,0.959077807
pose_baseline_tcp_offset_0172,77,0,0.077219357,0.066520689,1,0,0.062182537,0.271953858,0.977805206
pose_baseline_tcp_offset_0172,78,0,0.07685661,0.072941415,1,0,0.063412091,0.271721836,0.987741532
pose_baseline_tcp_offset_0172,79,0,0.075873639,0.08787152,1,0,0.063841916,0.269260168,0.993535718
pose_weight010_tcp_offset_0172,0,1,4.3737e-05,0.000996436,0,0,-0.200270285,-0.011069408,1.18252192
pose_weight010_tcp_offset_0172,1,1,0.000287925,0.004353173,0,0,-0.189888532,-0.012816252,1.188945374
